Plateau,avg_voltage,G_avg,n_candidate,interesting,R_unknown
1,0.9773848183073313,1.2318902554860857e-06,1,False,298.6343350928166
2,0.9776627348503524,1.2182001414569618e-06,1,False,294.8805881220096
3,0.9784870760268648,1.2238989023518235e-06,1,False,283.7589672926596
4,0.9807286845459657,1.0760307651434337e-06,1,False,253.61079121123322
5,0.977681526955597,1.2270567977596451e-06,1,False,294.62684503960054
6,0.97889023047107,1.146686918701758e-06,1,False,278.3266189602999
7,0.5954145788127518,5.109812078730784e-05,1,False,8769.927668526541
8,0.9785523043077168,1.174957110661693e-06,1,False,282.8797382181465
9,0.9765490645361651,1.2814938513909762e-06,1,False,309.93551878320943
10,0.9761608005369461,1.3163084289019294e-06,1,False,315.1922641153406
11,0.9794387442525476,1.1384245464925214e-06,1,False,270.9427919024893
12,0.6213696691295902,4.819907464999274e-05,1,False,7864.490587946873
13,0.6094811752125413,4.99117049983081e-05,1,False,8269.64608870591
14,0.6246383323562262,4.811515731150062e-05,1,False,7755.798797956693
15,0.9786996688721636,1.282055186525495e-06,1,False,280.8938041513163
16,0.9758253220592387,1.3663012262087442e-06,1,False,319.7377096951805
17,0.6035287910373881,5.0370880444571925e-05,1,False,8478.49773870655
18,0.9772743637866635,1.2118063084879064e-06,1,False,300.1268086538629
19,0.9753854555698732,1.3280112569816405e-06,1,False,325.7022608062887
20,0.588816608573782,5.2063843156656133e-05,1,False,9012.82127474062
21,0.9770483719532997,1.2555499144543674e-06,1,False,303.18148653307605
22,0.9773007896907586,1.283801420690615e-06,1,False,299.7697082471977
23,0.9777880920641897,1.2164300428656349e-06,1,False,293.18811893100303
24,0.9754259858853873,1.3888723244099363e-06,1,False,325.1524482746668
25,0.9762479859273041,1.3232774583521422e-06,1,False,314.01148830377355
26,0.9773131686573228,1.2438042862629683e-06,1,False,299.60243455779033
27,0.9781920333079711,1.1988648848411666e-06,1,False,287.7373900688046
28,0.977936804583761,1.1966986038713579e-06,1,False,291.1808884515747
29,0.6089511643531883,4.997860124179567e-05,1,False,8288.07701883452
30,0.6073424301862982,5.013932056475081e-05,1,False,8344.217152694633
31,0.9784447780593157,1.208162443297276e-06,1,False,284.32917532711866
32,0.975823396981155,1.3893322169929635e-06,1,False,319.7638018703612
33,0.6040202906187915,5.037545219065968e-05,1,False,8461.096551555564
34,0.6004365314262496,5.085112713864624e-05,1,False,8588.630389932327
35,0.9764943695021362,1.26250852978032e-06,1,False,310.6757873884423
36,0.975857665744622,1.3156853518776384e-06,1,False,319.29934437556176
37,0.6002399491951136,5.106131676363441e-05,1,False,8595.670144235984
38,0.9783695576167376,1.212589612510619e-06,1,False,285.34332459138864
39,0.9769570308466893,1.239590585570179e-06,1,False,304.4165235852849
40,0.9800642633382008,1.0810891790888054e-06,1,False,262.5324436673414
41,0.616120483330451,4.8680306557477186e-05,1,False,8041.453189316653
42,0.9776357394750161,1.2331217401344197e-06,1,False,295.24511410104964
43,0.6011067848533003,5.091193904923486e-05,1,False,8564.662734523583
44,0.5937297199370967,5.1831883397674773e-05,1,False,8831.439764218389
45,0.9784206135435739,1.1417745775187764e-06,1,False,284.6549530841628
46,0.9759103758507734,1.2838470146798822e-06,1,False,318.5850080694692
47,0.9804157941455386,1.0584496758824135e-06,1,False,257.8106850089952
48,0.6216936395600593,4.7781007473962674e-05,1,False,7853.666678636714
49,0.9768438835587191,1.2459212177001521e-06,1,False,305.946725604947
50,0.6043539501387505,5.027559582307833e-05,1,False,8449.299706536327
51,0.6221347700149911,4.778551238159102e-05,1,False,7838.946557298047
52,0.977775471867275,1.21676864765129e-06,1,False,293.3584867231158
53,0.9776738648072143,1.2223944408804174e-06,1,False,294.7303031136151
54,0.6137999273346021,4.887980958838762e-05,1,False,8120.649475938236
55,0.978452658759278,1.1536317168240389e-06,1,False,284.2229338984939
56,0.9765805600909516,1.3141344582029392e-06,1,False,309.5092805864957
57,0.9754220871669091,1.3135606786904634e-06,1,False,325.205334213221
58,0.9766129249614892,1.2640090492693779e-06,1,False,309.0713063362297
59,0.6333857224594005,4.655422759608432e-05,1,False,7470.44290897646
60,0.615907432542027,4.8573413335614214e-05,1,False,8048.6993389758
61,0.9763319864724886,1.3035204905799254e-06,1,False,312.87404519911314
62,0.9781123808384614,1.1621074209331305e-06,1,False,288.8118534370573
63,0.6177906301305689,4.817216867215597e-05,1,False,7984.822359232439
64,0.9762264840442609,1.2876593957479724e-06,1,False,314.30267464879404
65,0.9806966456315015,1.0741418095382509e-06,1,False,254.040722914844
66,0.9784301137393778,1.154996057177181e-06,1,False,284.5268727659204
67,0.9782040569820522,1.1668250215009798e-06,1,False,287.57521321882285
68,0.9778289448983256,1.2352429241219305e-06,1,False,292.6366515815602
69,0.9790884398946753,1.1540892573239302e-06,1,False,275.65746498369685
70,0.9799220594481808,1.110742700984034e-06,1,False,264.44348744190967
71,0.9761250660684933,1.2909522153643605e-06,1,False,315.676286830625
72,0.9770194023378136,1.2159262279900473e-06,1,False,303.5731641226198
73,0.9785256261355244,1.1843772847872576e-06,1,False,283.2393261186078
74,0.9781585237435735,1.1890478322855433e-06,1,False,288.18939238825755
75,0.9773250020714394,1.254419507395907e-06,1,False,299.44253673522564
76,0.9786461184680041,1.1210147398800307e-06,1,False,281.61539809562566
77,0.9748687268556717,1.3802711479670018e-06,1,False,332.7159324179326
78,0.9720711769484166,1.6894183828605912e-06,1,False,370.8171526382809
79,0.9777997408442343,1.2320052048869505e-06,1,False,293.0308687951117
80,0.6198728366049031,4.7902514445087295e-05,1,False,7914.646923803926
81,0.629740907901973,4.68955697246785e-05,1,False,7588.380026179751
82,0.977911384543404,1.202095571314861e-06,1,False,291.52394932489216
83,0.9793891648412454,1.0992617901248246e-06,1,False,271.6098659385488
84,0.9779458424030132,1.175768749947941e-06,1,False,291.05892118184147
85,0.9786323070372969,1.1204266866788032e-06,1,False,281.80152051467763
86,0.9787301866054521,1.1160537260100658e-06,1,False,280.48261173645096
87,0.9805342400439314,1.0478317953084752e-06,1,False,256.22048332168674
88,0.9755793420344766,1.2924560346438057e-06,1,False,323.07251441949245
89,0.6181544964774904,4.8629164253266714e-05,1,False,7972.525087008437
90,0.6035898555361314,5.0363941882385886e-05,1,False,8476.334252563
91,0.9790424232261326,1.1034708026177116e-06,1,False,276.27704440774767
92,0.9786240451492645,1.1633211294587546e-06,1,False,281.9128599771235
93,0.9779996100349211,1.1671051755924632e-06,1,False,290.3333622893373
94,0.9750132653422935,1.3660577248225707e-06,1,False,330.75333109938686
95,0.9782239851049472,1.1741149561614262e-06,1,False,287.30642893439045
96,0.9774085691625201,1.2300454713672495e-06,1,False,298.3134550056834
97,0.6212381957491045,4.823137784734038e-05,1,False,7868.886357090385
98,0.976686641898128,1.2634792098140236e-06,1,False,308.0738478945058
99,0.5991589163227261,5.084585154125339e-05,1,False,8634.465275292094
100,0.9756929216467187,1.3187619905236702e-06,1,False,321.5324819475634
101,0.9773489103774536,1.2378246183488287e-06,1,False,299.1194899600563
102,0.9776892357769648,1.2227971479108292e-06,1,False,294.5227584005683
103,0.9783534903384586,1.2221503872798187e-06,1,False,285.5599696721273
104,0.9692703916112859,1.72086728894584e-06,1,False,409.18275823894885
105,0.6049145884657391,5.035407208485496e-05,1,False,8429.50711750901
106,0.9760580134884007,1.2873487835138112e-06,1,False,316.5846084334829
107,0.9782212623305475,1.199608626933185e-06,1,False,287.3431522173972
108,0.9745205848403623,1.3953468801360634e-06,1,False,337.4455336924211
109,0.5934842082056319,5.195738966538269e-05,1,False,8840.43224543474
110,0.6017375292253746,5.099678349296338e-05,1,False,8542.156652258536
111,0.6101809180418826,4.983982072553785e-05,1,False,8245.361833698851
112,0.9783645200438289,1.1935639526988024e-06,1,False,285.41124854633443
113,0.9785269456852993,1.1460273659046064e-06,1,False,283.2215398015287
114,0.9773681964946698,1.2276266252797795e-06,1,False,298.858909280607
115,0.977461993790993,1.2576770091794653e-06,1,False,297.5917316914653
116,0.9790158055239279,1.2055611772834357e-06,1,False,276.63545810150634
117,0.9786239066934321,1.1958298119121248e-06,1,False,281.9147258617995
118,0.9775352437195104,1.2494790960550424e-06,1,False,296.60231291612985
119,0.9783529567400168,1.1706865277594665e-06,1,False,285.56716463303263
120,0.9715353384570903,1.627874750147069e-06,1,False,378.1400422182623
121,0.9772182882962087,1.2301952924466893e-06,1,False,300.884635933614
122,0.9780134096169121,1.203799314883081e-06,1,False,290.1471588551868
123,0.9737418082465107,1.526105964940647e-06,1,False,348.0376636918134
124,0.9721793797888005,1.5448280865916223e-06,1,False,369.33940784988545
125,0.9767153519888776,1.2257222413980668e-06,1,False,307.6854145093988
126,0.9764454663498328,1.2812779357399725e-06,1,False,311.33773613509965
127,0.9782857705052586,1.1976156088197266e-06,1,False,286.4731563996007
128,0.5898528407645452,5.259956034611179e-05,1,False,8974.314371024273
129,0.6022858277861489,5.065918012441498e-05,1,False,8522.630682618323
130,0.5974188229177461,5.151010457654743e-05,1,False,8697.207061548474
